motor:,SystemsGo Goddard 50k (N2O/HTPB hybrid)
source:,"MODELLED by hybrid_sim, not a measured test-stand curve"
reference:,Sized for the SystemsGo Goddard brief - 50000 ft with a payload
propellant mass:,41.8887 kg

Time (s),Thrust (N)
18.6133,1189.509
18.6490,1177.817
18.6847,1166.177
18.7205,1154.589
18.7562,1143.054
18.7919,1131.571
18.8276,1120.142
18.8634,1108.766
18.8991,1097.444
18.9348,1086.175
18.9705,1074.960
19.0063,1063.798
19.0420,1052.691
19.0777,1041.638
19.1134,1030.640
19.1492,1019.695
19.1849,1008.806
19.2206,997.971
19.2563,987.192
19.2921,976.468
19.3278,965.799
19.3635,955.186
19.3993,944.628
19.4350,934.126
19.4707,923.680
19.5064,913.290
19.5422,902.930
19.5779,892.580
19.6136,882.283
19.6493,872.043
19.6851,861.859
19.7208,851.732
19.7565,841.662
19.7922,831.648
19.8280,821.691
19.8637,811.790
19.8994,801.946
19.9351,792.158
19.9709,782.426
20.0066,772.751
20.0423,763.133
20.0780,753.572
20.1138,744.067
20.1495,734.620
20.1852,725.229
20.2210,715.895
20.2567,706.617
20.2924,697.395
20.3281,688.229
20.3639,679.118
20.3996,670.064
20.4353,661.066
20.4710,652.125
20.5068,643.240
20.5425,634.411
20.5782,625.636
20.6139,616.916
20.6497,608.252
20.6854,599.644
20.7211,591.092
20.7568,582.595
20.7926,574.152
20.8283,565.762
20.8640,557.428
20.8997,549.150
20.9355,540.926
20.9712,532.755
21.0069,524.637
21.0427,516.574
21.0784,508.566
21.1141,500.612
21.1498,492.709
21.1856,484.859
21.2213,477.063
21.2570,469.322
21.2927,461.628
21.3285,453.965
21.3642,446.354
21.3999,438.795
